
242 30 0.667533959558 3.1500000000000017 13.0879415405
37 30 0.773422161691 3.2500000000000018 15.3163116348
24 30 0.712025819723 3.350000000000002 14.0982227953
42 30 0.778058354797 3.450000000000002 13.234356297
40 30 0.770345316727 3.550000000000002 14.6997131672
34 30 0.853190293702 3.650000000000002 14.7555224017
31 30 0.785449137289 3.750000000000002 15.8699810472
46 30 0.846126329483 3.8500000000000023 15.4955162757
33 30 0.745174000773 3.9500000000000024 13.4842245366
38 30 0.684520062043 4.0500000000000025 14.1721406809
139 30 0.681570030835 4.150000000000002 13.9000417938
32 30 0.65008133157 4.250000000000002 12.3573200162
36 30 0.616039390988 4.350000000000001 11.7582843111
36 30 0.626139223761 4.450000000000001 15.0454446475
34 30 0.516832294183 4.550000000000001 13.1023333807
31 30 0.739853463076 4.65 16.0361666669
87 30 0.61829813417 4.75 13.0607310174
41 30 0.629429529188 4.85 13.8083862262
59 30 0.497344140975 4.949999999999999 13.0560659178
465 30 0.731448130881 5.049999999999999 13.7509580728
47 30 0.719539023898 5.149999999999999 14.1058764924
37 30 0.685019310693 5.249999999999998 12.7106434505
39 30 0.621306305077 5.349999999999998 13.1109109501
43 30 0.624154084891 5.4499999999999975 13.3329769545
35 30 0.651096300636 5.549999999999997 14.3424014158
59 30 0.811768865138 5.649999999999997 15.6288068616
42 30 0.746061028136 5.7499999999999964 13.2207599264
44 30 0.678960141271 5.849999999999996 12.4543087581
56 30 0.764429876016 5.949999999999996 12.7541646283
40 30 0.699476021238 6.049999999999995 12.5944451159
46 30 0.736054231557 6.149999999999995 13.0627886602
42 30 0.723307929186 6.249999999999995 13.7121611864
42 30 0.580309137926 6.349999999999994 13.4819700226
38 30 0.68660323807 6.449999999999994 13.3356627919
130 30 0.712492695787 6.549999999999994 13.584527259
39 30 0.827467084073 6.649999999999993 13.8216854671
32 30 0.460828473213 6.749999999999993 12.3680812147
41 30 0.629469408604 6.8499999999999925 12.2766013031
37 30 0.719738948521 6.949999999999992 11.6675685004
39 30 0.574270807305 7.049999999999992 11.4194481331
36 30 0.664379088413 7.1499999999999915 14.5158677332
39 30 0.607617931527 7.249999999999991 12.6305643463
41 30 0.708812641389 7.349999999999991 12.8856601787
39 30 0.603021372038 7.44999999999999 12.8136610466
43 30 0.842826516062 7.54999999999999 13.3411817532
35 30 0.764976587321 7.64999999999999 13.4925643631
36 30 0.633566781729 7.749999999999989 11.8390800473
33 30 0.713154593935 7.849999999999989 14.6540202789
43 30 0.807041981219 7.949999999999989 14.0666908886
39 30 0.850572594357 8.049999999999988 15.0464090374
43 30 0.807096741418 8.149999999999988 13.5652975836
119 30 0.77678793388 8.249999999999988 14.6874290771
132 30 0.696783263197 8.349999999999987 13.7740347389
39 30 0.494249875695 8.449999999999987 12.1334095328
40 30 0.678135686213 8.549999999999986 12.5258532549
42 30 0.822338743069 8.649999999999986 14.5813657091
41 30 0.936449742362 8.749999999999986 13.8594194893
37 30 0.647567602523 8.849999999999985 13.7890909231
36 30 0.687967708601 8.949999999999985 12.6563039993
46 30 0.874224897039 9.049999999999985 14.8306649496
33 30 0.682095394435 9.149999999999984 12.153742523
43 30 0.620915776315 9.249999999999984 12.3673519181
41 30 0.836307328395 9.349999999999984 13.4318738026
117 30 0.645128963507 9.449999999999983 14.1494570566
43 30 0.594481215788 9.549999999999983 12.8121134233
52 30 0.630878894301 9.649999999999983 16.2067775199
43 30 0.714235983893 9.749999999999982 15.251576262
40 30 0.718846544168 9.849999999999982 15.2902836619
42 30 0.979971938567 9.949999999999982 16.0679382705
141 30 0.651691847297 10.049999999999981 12.9527149824
42 30 0.809372778406 10.14999999999998 12.994078044
33 30 0.68741763178 10.24999999999998 12.774972715
415 30 0.760389545556 10.34999999999998 14.0946368019
41 30 0.622513203863 10 13.388162848
161 30 0.674671200848 10 13.1605157884
39 30 0.594951149204 10 12.8622254947
31 30 0.760354322013 10 11.9887649005
43 30 0.719221560228 10 15.1053753655
