nPolymers: 5
Polymer 0, bead 1, weight: 1.0 lowLim: 1.0, upLim: 1.2
Polymer 0, bead 2, weight: 1.00476893904 lowLim: 0.9, upLim: 1.32
Polymer 0, bead 3, weight: 1.0111509154 lowLim: 0.81, upLim: 1.4520000000000002
Polymer 0, bead 4, weight: 1.02408219925 lowLim: 0.7290000000000001, upLim: 1.5972000000000004
Polymer 0, bead 5, weight: 1.04555941486 lowLim: 0.6561000000000001, upLim: 1.7569200000000005
Polymer 0, bead 6, weight: 1.82758766953 lowLim: 0.5904900000000002, upLim: 1.9326120000000007
Polymer 0, bead 7, weight: 3.04921113527 lowLim: 0.5314410000000002, upLim: 2.125873200000001
upLim
Polymer 1, bead 8, weight: 1.92226452327 lowLim: 0.47829690000000014, upLim: 2.3384605200000013
Polymer 1, bead 9, weight: 2.05731688608 lowLim: 0.43046721000000016, upLim: 2.572306572000002
Polymer 1, bead 10, weight: 2.09963450943 lowLim: 0.38742048900000015, upLim: 2.8295372292000023
Polymer 1, bead 11, weight: 1.8108670124 lowLim: 0.34867844010000015, upLim: 3.1124909521200026
Polymer 1, bead 12, weight: 3.23777075706 lowLim: 0.31381059609000017, upLim: 3.423740047332003
Polymer 1, bead 13, weight: 3.57825521466 lowLim: 0.28242953648100017, upLim: 3.7661140520652037
Polymer 1, bead 14, weight: 3.82692253936 lowLim: 0.25418658283290013, upLim: 4.142725457271724
Polymer 1, bead 15, weight: 4.98670452238 lowLim: 0.22876792454961012, upLim: 4.556998002998897
Polymer 1, bead 16, weight: 5.06573981931 lowLim: 0.2058911320946491, upLim: 5.012697803298788
Polymer 1, bead 17, weight: 5.09496634671 lowLim: 0.1853020188851842, upLim: 5.513967583628667
Polymer 1, bead 18, weight: 5.88934538673 lowLim: 0.16677181699666577, upLim: 6.065364341991534
Polymer 1, bead 19, weight: 11.4589988728 lowLim: 0.1500946352969992, upLim: 6.6719007761906886
upLim
Polymer 2, bead 20, weight: 7.60920918512 lowLim: 0.13508517176729928, upLim: 7.339090853809758
Polymer 2, bead 21, weight: 7.74985766335 lowLim: 0.12157665459056936, upLim: 8.072999939190733
Polymer 2, bead 22, weight: 7.80141163754 lowLim: 0.10941898913151243, upLim: 8.880299933109807
Polymer 2, bead 23, weight: 7.8424909239 lowLim: 0.0984770902183612, upLim: 9.768329926420789
Polymer 2, bead 24, weight: 8.00135551283 lowLim: 0.08862938119652508, upLim: 10.745162919062869
Polymer 2, bead 25, weight: 8.34040042535 lowLim: 0.07976644307687257, upLim: 11.819679210969158
Polymer 2, bead 26, weight: 11.5589526808 lowLim: 0.07178979876918531, upLim: 13.001647132066074
Polymer 2, bead 27, weight: 12.0979316679 lowLim: 0.06461081889226679, upLim: 14.301811845272683
Polymer 2, bead 28, weight: 0.0 lowLim: 0.05814973700304011, upLim: 15.731993029799952
lowLim
Polymer removed
Polymer 2, bead 1, weight: 1.0 lowLim: 1.0, upLim: 1.2
Polymer 2, bead 2, weight: 1.00976975501 lowLim: 0.9, upLim: 1.32
Polymer 2, bead 3, weight: 1.03417096332 lowLim: 0.81, upLim: 1.4520000000000002
Polymer 2, bead 4, weight: 1.04120741408 lowLim: 0.7290000000000001, upLim: 1.5972000000000004
Polymer 2, bead 5, weight: 1.06554207261 lowLim: 0.6561000000000001, upLim: 1.7569200000000005
Polymer 2, bead 6, weight: 1.45960595225 lowLim: 0.5904900000000002, upLim: 1.9326120000000007
Polymer 2, bead 7, weight: 1.53588893872 lowLim: 0.5314410000000002, upLim: 2.125873200000001
Polymer 2, bead 8, weight: 1.77404826477 lowLim: 0.47829690000000014, upLim: 2.3384605200000013
Polymer 2, bead 9, weight: 1.79984833639 lowLim: 0.43046721000000016, upLim: 2.572306572000002
Polymer 2, bead 10, weight: 2.23299929723 lowLim: 0.38742048900000015, upLim: 2.8295372292000023
Polymer 2, bead 11, weight: 2.26873032865 lowLim: 0.34867844010000015, upLim: 3.1124909521200026
Polymer 2, bead 12, weight: 2.73026730123 lowLim: 0.31381059609000017, upLim: 3.423740047332003
Polymer 2, bead 13, weight: 3.62985052269 lowLim: 0.28242953648100017, upLim: 3.7661140520652037
Polymer 2, bead 14, weight: 3.9650297102 lowLim: 0.25418658283290013, upLim: 4.142725457271724
Polymer 2, bead 15, weight: 4.56188341112 lowLim: 0.22876792454961012, upLim: 4.556998002998897
Polymer 2, bead 16, weight: 4.76899430239 lowLim: 0.2058911320946491, upLim: 5.012697803298788
Polymer 2, bead 17, weight: 5.67015668254 lowLim: 0.1853020188851842, upLim: 5.513967583628667
Polymer 2, bead 18, weight: 5.85749664683 lowLim: 0.16677181699666577, upLim: 6.065364341991534
Polymer 2, bead 19, weight: 7.51305397569 lowLim: 0.1500946352969992, upLim: 6.6719007761906886
upLim
Polymer 3, bead 20, weight: 3.83366052959 lowLim: 0.13508517176729928, upLim: 7.339090853809758
Polymer 3, bead 21, weight: 3.85700560554 lowLim: 0.12157665459056936, upLim: 8.072999939190733
Polymer 3, bead 22, weight: 3.90282867507 lowLim: 0.10941898913151243, upLim: 8.880299933109807
Polymer 3, bead 23, weight: 3.99230127453 lowLim: 0.0984770902183612, upLim: 9.768329926420789
Polymer 3, bead 24, weight: 5.02441883725 lowLim: 0.08862938119652508, upLim: 10.745162919062869
Polymer 3, bead 25, weight: 5.59182364759 lowLim: 0.07976644307687257, upLim: 11.819679210969158
Polymer 3, bead 26, weight: 7.65572648611 lowLim: 0.07178979876918531, upLim: 13.001647132066074
